头实体	关系	尾实体
菌必治	属于	药物
菌必治	来源	互动百科
菌必治	来源	中文维基百科
菌必治	名称	头孢曲松钠
五味安神丸	来源	互动百科
五味安神丸	来源	中文维基百科
五味安神丸	属于	药物
克拉霉素分散片	属于	药物
克拉霉素分散片	来源	中文维基百科
克拉霉素分散片	来源	互动百科
复方磺胺甲唑片	来源	中文维基百科
复方磺胺甲唑片	来源	互动百科
复方磺胺甲唑片	属于	药物
疗肺宁片	来源	中文维基百科
疗肺宁片	来源	互动百科
疗肺宁片	属于	药物
舒它西林	属于	药物
舒它西林	来源	互动百科
舒它西林	来源	中文维基百科
金牡感冒片	来源	互动百科
金牡感冒片	来源	中文维基百科
金牡感冒片	属于	药物
六神祛暑水	来源	中文维基百科
六神祛暑水	属于	药物
六神祛暑水	来源	互动百科
芩草止痢片	属于	药物
芩草止痢片	来源	互动百科
芩草止痢片	来源	中文维基百科
丁香平胃散	来源	互动百科
丁香平胃散	来源	中文维基百科
丁香平胃散	属于	药物
强力宁	来源	中文维基百科
强力宁	来源	互动百科
强力宁	属于	药物
T2毒素	来源	互动百科
T2毒素	来源	中文维基百科
T2毒素	属于	药物
菖蒲膏	来源	互动百科
菖蒲膏	属于	药物
菖蒲膏	来源	中文维基百科
心肝宝胶囊	来源	互动百科
心肝宝胶囊	来源	中文维基百科
心肝宝胶囊	类型	胶囊剂
心肝宝胶囊	属于	药物
香砂胃苓丸	属于	药物
香砂胃苓丸	是否处方药	非处方药
香砂胃苓丸	来源	中文维基百科
香砂胃苓丸	来源	互动百科
双氯灭酸	来源	互动百科
双氯灭酸	来源	中文维基百科
双氯灭酸	属于	药物
乳疾灵胶囊	属于	药物
乳疾灵胶囊	来源	中文维基百科
乳疾灵胶囊	来源	互动百科
一支蒿伤湿祛痛膏	来源	互动百科
一支蒿伤湿祛痛膏	属于	药物
一支蒿伤湿祛痛膏	来源	中文维基百科
赛莱乐	属于	药物
赛莱乐	来源	中文维基百科
赛莱乐	来源	互动百科
李氏鼻炎油	属于	药物
李氏鼻炎油	来源	中文维基百科
李氏鼻炎油	来源	互动百科
回疳散	来源	中文维基百科
回疳散	来源	互动百科
回疳散	属于	药物
产后补丸	来源	互动百科
产后补丸	来源	中文维基百科
产后补丸	属于	药物
DC疫苗	来源	中文维基百科
DC疫苗	来源	互动百科
DC疫苗	属于	药物
倒经鼻血茶	来源	互动百科
倒经鼻血茶	属于	药物
倒经鼻血茶	来源	中文维基百科
愈痫丸	属于	药物
愈痫丸	来源	互动百科
愈痫丸	来源	中文维基百科
已二烯雌酚片	来源	互动百科
已二烯雌酚片	属于	药物
已二烯雌酚片	来源	中文维基百科
黄疸茵陈片	来源	中文维基百科
黄疸茵陈片	来源	互动百科
黄疸茵陈片	属于	药物
中和散	来源	中文维基百科
中和散	属于	药物
中和散	来源	互动百科
益血糖浆	属于	药物
益血糖浆	来源	中文维基百科
益血糖浆	来源	互动百科
苯乃准	来源	互动百科
苯乃准	属于	药物
苯乃准	来源	中文维基百科
汉肌松注射液	来源	中文维基百科
汉肌松注射液	来源	互动百科
汉肌松注射液	属于	药物
瓜子散	来源	中文维基百科
瓜子散	来源	互动百科
瓜子散	属于	药物
给药护理	来源	中文维基百科
给药护理	来源	互动百科
给药护理	属于	药物
太极升降丸	来源	中文维基百科
太极升降丸	属于	药物
太极升降丸	来源	互动百科
六味西红花口服液	剂量	口服
六味西红花口服液	来源	中文维基百科
六味西红花口服液	来源	互动百科
六味西红花口服液	属于	药物
紫雪胶囊	来源	互动百科
紫雪胶囊	来源	中文维基百科
紫雪胶囊	属于	药物
鸡金散	属于	药物
鸡金散	来源	中文维基百科
鸡金散	来源	互动百科
精制冠心胶囊	来源	中文维基百科
精制冠心胶囊	来源	互动百科
精制冠心胶囊	属于	药物
得力生注射液	属于	药物
得力生注射液	来源	中文维基百科
得力生注射液	来源	互动百科
倍他司汀口服液	来源	互动百科
倍他司汀口服液	属于	药物
倍他司汀口服液	来源	中文维基百科
二氢槲皮素	属于	药物
二氢槲皮素	来源	中文维基百科
二氢槲皮素	来源	互动百科
铁锌钙咀嚼片	来源	中文维基百科
铁锌钙咀嚼片	来源	互动百科
铁锌钙咀嚼片	属于	药物
脑康	来源	互动百科
脑康	属于	药物
脑康	来源	中文维基百科
七七散	来源	中文维基百科
七七散	来源	互动百科
七七散	属于	药物
济生橘核丸	来源	互动百科
济生橘核丸	来源	中文维基百科
济生橘核丸	属于	药物
苄丝拉肼	属于	药物
苄丝拉肼	来源	互动百科
苄丝拉肼	来源	中文维基百科
柏黄静神丸	属于	药物
柏黄静神丸	来源	中文维基百科
柏黄静神丸	来源	互动百科
通筋骨贴	来源	中文维基百科
通筋骨贴	属于	药物
通筋骨贴	来源	互动百科
常将散	来源	中文维基百科
常将散	属于	药物
常将散	来源	互动百科
复方补骨脂冲剂	来源	中文维基百科
复方补骨脂冲剂	属于	药物
复方补骨脂冲剂	来源	互动百科
巯嘌呤	来源	中文维基百科
巯嘌呤	来源	互动百科
巯嘌呤	属于	药物
蚂蚁胶囊	来源	互动百科
蚂蚁胶囊	属于	药物
蚂蚁胶囊	来源	中文维基百科
大黄桔梗散	属于	药物
大黄桔梗散	来源	互动百科
大黄桔梗散	来源	中文维基百科
美菲康	属于	药物
美菲康	来源	互动百科
美菲康	来源	中文维基百科
尿感宁冲剂	属于	药物
尿感宁冲剂	来源	中文维基百科
尿感宁冲剂	来源	互动百科
利心丸	属于	药物
利心丸	来源	中文维基百科
利心丸	来源	互动百科
恩替卡韦	来源	互动百科
恩替卡韦	属于	药物
恩替卡韦	来源	中文维基百科
豆蔻丸	来源	互动百科
豆蔻丸	来源	中文维基百科
豆蔻丸	属于	药物
绿茸益血胶囊	属于	药物
绿茸益血胶囊	来源	互动百科
绿茸益血胶囊	来源	中文维基百科
痔疮胶囊	属于	药物
痔疮胶囊	来源	互动百科
痔疮胶囊	来源	中文维基百科
防葛平胃散	属于	药物
防葛平胃散	来源	互动百科
防葛平胃散	来源	中文维基百科
胃复胶囊	类型	胶囊剂
胃复胶囊	来源	中文维基百科
胃复胶囊	属于	药物
胃复胶囊	来源	互动百科
百宝丹	来源	互动百科
百宝丹	属于	药物
百宝丹	来源	中文维基百科
Lynparza	来源	互动百科
Lynparza	属于	药物
Lynparza	来源	中文维基百科
地黄石英酒丸	属于	药物
地黄石英酒丸	来源	中文维基百科
地黄石英酒丸	来源	互动百科
冠脂妥	来源	中文维基百科
冠脂妥	来源	互动百科
冠脂妥	属于	药物
忆梦返	来源	中文维基百科
忆梦返	来源	互动百科
忆梦返	属于	药物
促皮质素	属于	药物
促皮质素	来源	中文维基百科
促皮质素	来源	互动百科
矾石软膏	来源	中文维基百科
矾石软膏	来源	互动百科
矾石软膏	属于	药物
大黄庶虫丸	来源	互动百科
大黄庶虫丸	来源	中文维基百科
大黄庶虫丸	属于	药物
颈痛颗粒	来源	中文维基百科
颈痛颗粒	属于	药物
颈痛颗粒	来源	互动百科
特非那定胶囊	来源	中文维基百科
特非那定胶囊	来源	互动百科
特非那定胶囊	属于	药物
回生保命玉咽丹	来源	中文维基百科
回生保命玉咽丹	来源	互动百科
回生保命玉咽丹	属于	药物
蛇舌草泄肝茶	属于	药物
蛇舌草泄肝茶	来源	中文维基百科
蛇舌草泄肝茶	来源	互动百科
硫酸四氢帕马丁注射液	属于	药物
硫酸四氢帕马丁注射液	来源	中文维基百科
硫酸四氢帕马丁注射液	来源	互动百科
雄黄散	来源	中文维基百科
雄黄散	属于	药物
雄黄散	来源	互动百科
参芪益气酒	来源	中文维基百科
参芪益气酒	来源	互动百科
参芪益气酒	属于	药物
利旭达	来源	中文维基百科
利旭达	来源	互动百科
利旭达	属于	药物
驱毒养颜口服液	来源	中文维基百科
驱毒养颜口服液	属于	药物
驱毒养颜口服液	来源	互动百科
双达芬	来源	中文维基百科
双达芬	属于	药物
双达芬	来源	互动百科
苍黄诺卡氏菌苍黄霉素	来源	中文维基百科
苍黄诺卡氏菌苍黄霉素	属于	药物
苍黄诺卡氏菌苍黄霉素	来源	互动百科
麦加霉素	名称	乙酰麦迪霉素
麦加霉素	属于	药物
麦加霉素	来源	互动百科
麦加霉素	来源	中文维基百科
感冒清热咀嚼片	来源	中文维基百科
感冒清热咀嚼片	属于	药物
感冒清热咀嚼片	来源	互动百科
抗银片	来源	中文维基百科
抗银片	来源	互动百科
抗银片	属于	药物
阿尼西坦颗粒	来源	中文维基百科
阿尼西坦颗粒	属于	药物
阿尼西坦颗粒	来源	互动百科
艾叶酒	属于	药物
艾叶酒	来源	中文维基百科
艾叶酒	来源	互动百科
清神散	来源	互动百科
清神散	属于	药物
清神散	来源	中文维基百科
祁眉	来源	互动百科
祁眉	来源	中文维基百科
祁眉	属于	药物
鸡传染性法氏囊病灭活	来源	互动百科
鸡传染性法氏囊病灭活	属于	药物
鸡传染性法氏囊病灭活	来源	中文维基百科
乐力钙	来源	中文维基百科
乐力钙	来源	互动百科
乐力钙	是否处方药	非处方药
乐力钙	属于	药物
花蕊石止血散	属于	药物
花蕊石止血散	来源	互动百科
花蕊石止血散	来源	中文维基百科
八厘丸	来源	互动百科
八厘丸	属于	药物
八厘丸	来源	中文维基百科
风热咳嗽丸	属于	药物
风热咳嗽丸	来源	中文维基百科
风热咳嗽丸	来源	互动百科
固本十补丸	来源	互动百科
固本十补丸	属于	药物
固本十补丸	来源	中文维基百科
金诺芬片	来源	中文维基百科
金诺芬片	来源	互动百科
金诺芬片	属于	药物
促黑激素	来源	中文维基百科
促黑激素	属于	药物
促黑激素	来源	互动百科
全叶青兰	来源	互动百科
全叶青兰	来源	中文维基百科
全叶青兰	属于	药物
地龙	来源	互动百科
地龙	来源	中文维基百科
地龙	属于	药物
葡萄籽软胶囊	来源	互动百科
葡萄籽软胶囊	属于	药物
葡萄籽软胶囊	来源	中文维基百科
健佰龄叶黄素脂片	来源	中文维基百科
健佰龄叶黄素脂片	属于	药物
健佰龄叶黄素脂片	来源	互动百科
复方谷酰胺颗粒剂	来源	互动百科
复方谷酰胺颗粒剂	来源	中文维基百科
复方谷酰胺颗粒剂	属于	药物
急风一字散	属于	药物
急风一字散	来源	互动百科
急风一字散	来源	中文维基百科
益肾消肿丸	属于	药物
益肾消肿丸	来源	互动百科
益肾消肿丸	来源	中文维基百科
烊速消	是否处方药	非处方药
烊速消	来源	中文维基百科
烊速消	属于	药物
烊速消	来源	互动百科
凝水石散	来源	互动百科
凝水石散	属于	药物
凝水石散	来源	中文维基百科
注射用羟喜树碱	属于	药物
注射用羟喜树碱	来源	互动百科
注射用羟喜树碱	来源	中文维基百科
丁香平气丸	属于	药物
丁香平气丸	来源	中文维基百科
丁香平气丸	来源	互动百科
感冒止咳冲剂	属于	药物
感冒止咳冲剂	来源	互动百科
感冒止咳冲剂	来源	中文维基百科
玄明粉	属于	药物
玄明粉	来源	中文维基百科
玄明粉	来源	互动百科
小儿增食片	来源	中文维基百科
小儿增食片	来源	互动百科
小儿增食片	属于	药物
垂体前叶肾上腺皮质提	来源	中文维基百科
垂体前叶肾上腺皮质提	来源	互动百科
垂体前叶肾上腺皮质提	属于	药物
门冬氨酸阿奇霉素	来源	互动百科
门冬氨酸阿奇霉素	来源	中文维基百科
门冬氨酸阿奇霉素	属于	药物
大蓟止血片	属于	药物
大蓟止血片	来源	中文维基百科
大蓟止血片	来源	互动百科
病毒唑注射液	来源	互动百科
病毒唑注射液	属于	药物
病毒唑注射液	来源	中文维基百科
银粉散	来源	互动百科
银粉散	属于	药物
银粉散	来源	中文维基百科
血府逐瘀泡腾片	剂量	口服
血府逐瘀泡腾片	属于	药物
血府逐瘀泡腾片	来源	中文维基百科
血府逐瘀泡腾片	来源	互动百科
牛黄散	来源	中文维基百科
牛黄散	属于	药物
牛黄散	来源	互动百科
容妃鹿胎珍珠胶囊	来源	互动百科
容妃鹿胎珍珠胶囊	来源	中文维基百科
容妃鹿胎珍珠胶囊	属于	药物
四君子袋泡剂	属于	药物
四君子袋泡剂	来源	中文维基百科
四君子袋泡剂	来源	互动百科
芡实茶	属于	药物
芡实茶	来源	中文维基百科
芡实茶	来源	互动百科
清咽饮茶	来源	中文维基百科
清咽饮茶	来源	互动百科
清咽饮茶	属于	药物
阿奇霉素细粒剂	来源	互动百科
阿奇霉素细粒剂	来源	中文维基百科
阿奇霉素细粒剂	属于	药物
百喘朋	来源	互动百科
百喘朋	属于	药物
百喘朋	来源	中文维基百科
氨基酸颗粒	来源	中文维基百科
氨基酸颗粒	属于	药物
氨基酸颗粒	来源	互动百科
脉络通颗粒	来源	互动百科
脉络通颗粒	属于	药物
脉络通颗粒	来源	中文维基百科
脱敏贴	来源	中文维基百科
脱敏贴	来源	互动百科
脱敏贴	属于	药物
珍珠母丸	来源	中文维基百科
珍珠母丸	来源	互动百科
珍珠母丸	属于	药物
克白灵	来源	互动百科
克白灵	来源	中文维基百科
克白灵	属于	药物
克白灵	名称	苏孜阿甫片
纤营素	来源	中文维基百科
纤营素	属于	药物
纤营素	来源	互动百科
九味黑蚁酒	来源	互动百科
九味黑蚁酒	属于	药物
九味黑蚁酒	来源	中文维基百科
金奥聪	来源	中文维基百科
金奥聪	来源	互动百科
金奥聪	属于	药物
阴崩固经丸	属于	药物
阴崩固经丸	来源	中文维基百科
阴崩固经丸	来源	互动百科
环磷腺苷氯化钠注射液	来源	中文维基百科
环磷腺苷氯化钠注射液	来源	互动百科
环磷腺苷氯化钠注射液	属于	药物
理气消滞茶	来源	互动百科
理气消滞茶	属于	药物
理气消滞茶	来源	中文维基百科
理气消滞茶	是否处方药	非处方药
丁沉透膈丸	来源	互动百科
丁沉透膈丸	属于	药物
丁沉透膈丸	来源	中文维基百科
人参蛤蚧丸	来源	中文维基百科
人参蛤蚧丸	来源	互动百科
人参蛤蚧丸	属于	药物
复方黄莲素片	来源	中文维基百科
复方黄莲素片	来源	互动百科
复方黄莲素片	属于	药物
妇炎消泡腾片	来源	互动百科
妇炎消泡腾片	属于	药物
妇炎消泡腾片	来源	中文维基百科
通便清火丸	属于	药物
通便清火丸	来源	中文维基百科
通便清火丸	来源	互动百科
磺胺多辛片	来源	互动百科
磺胺多辛片	属于	药物
磺胺多辛片	来源	中文维基百科
参贝北瓜膏	属于	药物
参贝北瓜膏	来源	中文维基百科
参贝北瓜膏	来源	互动百科
气滞胃痛冲剂	来源	互动百科
气滞胃痛冲剂	属于	药物
气滞胃痛冲剂	来源	中文维基百科
诃子五味胶囊	来源	中文维基百科
诃子五味胶囊	来源	互动百科
诃子五味胶囊	属于	药物
丁香匀气丸	来源	中文维基百科
丁香匀气丸	属于	药物
丁香匀气丸	来源	互动百科
峨眉石凤丹	属于	药物
峨眉石凤丹	来源	互动百科
峨眉石凤丹	来源	中文维基百科
螺内酯胶囊	来源	中文维基百科
螺内酯胶囊	属于	药物
螺内酯胶囊	来源	互动百科
保童碧丹	来源	互动百科
保童碧丹	来源	中文维基百科
保童碧丹	属于	药物
热敏毒素	属于	药物
热敏毒素	来源	中文维基百科
热敏毒素	来源	互动百科
健脾祛湿汤	来源	互动百科
健脾祛湿汤	属于	药物
健脾祛湿汤	来源	中文维基百科
健脾祛湿汤	是否处方药	非处方药
秦一膏	属于	药物
秦一膏	来源	中文维基百科
秦一膏	来源	互动百科
注射用哌拉西林钠/他	属于	药物
注射用哌拉西林钠/他	来源	互动百科
注射用哌拉西林钠/他	来源	中文维基百科
消食十味胶囊	来源	互动百科
消食十味胶囊	来源	中文维基百科
消食十味胶囊	属于	药物
福可定片	来源	互动百科
福可定片	属于	药物
福可定片	来源	中文维基百科
三维制霉素	来源	互动百科
三维制霉素	属于	药物
三维制霉素	来源	中文维基百科
二十五味儿茶丸	属于	药物
二十五味儿茶丸	来源	中文维基百科
二十五味儿茶丸	来源	互动百科
和胃片	来源	互动百科
和胃片	属于	药物
和胃片	来源	中文维基百科
野葛根软胶囊	来源	中文维基百科
野葛根软胶囊	来源	互动百科
野葛根软胶囊	属于	药物
敷药铁箍散	属于	药物
敷药铁箍散	来源	互动百科
敷药铁箍散	来源	中文维基百科
桑克令	来源	互动百科
桑克令	来源	中文维基百科
桑克令	属于	药物
伤痛跌打丸	来源	互动百科
伤痛跌打丸	属于	药物
伤痛跌打丸	来源	中文维基百科
秦艽牵正汤	来源	互动百科
秦艽牵正汤	属于	药物
秦艽牵正汤	来源	中文维基百科
雷贝拉唑钠	来源	互动百科
雷贝拉唑钠	属于	药物
雷贝拉唑钠	来源	中文维基百科
蓝天六必治牙膏	来源	互动百科
蓝天六必治牙膏	属于	药物
蓝天六必治牙膏	来源	中文维基百科
红豆杉果萃取素	来源	互动百科
红豆杉果萃取素	属于	药物
红豆杉果萃取素	来源	中文维基百科
羟乙膦酸钠片	属于	药物
羟乙膦酸钠片	来源	中文维基百科
羟乙膦酸钠片	来源	互动百科
参耳五味晶	来源	互动百科
参耳五味晶	属于	药物
参耳五味晶	来源	中文维基百科
抗骨增生口服液	属于	药物
抗骨增生口服液	来源	中文维基百科
抗骨增生口服液	来源	互动百科
非那根	来源	互动百科
非那根	来源	中文维基百科
非那根	属于	药物
珍珠洋参散	来源	中文维基百科
珍珠洋参散	来源	互动百科
珍珠洋参散	属于	药物
救心金丸	属于	药物
救心金丸	来源	互动百科
救心金丸	来源	中文维基百科
天麻勾藤冲剂	来源	互动百科
天麻勾藤冲剂	属于	药物
天麻勾藤冲剂	来源	中文维基百科
胃酶抑素	来源	中文维基百科
胃酶抑素	来源	互动百科
胃酶抑素	属于	药物
耳聋左慈丸	属于	药物
耳聋左慈丸	来源	互动百科
耳聋左慈丸	来源	中文维基百科
保真种子膏	来源	互动百科
保真种子膏	属于	药物
保真种子膏	来源	中文维基百科
M-18P探头清洁液	来源	互动百科
M-18P探头清洁液	属于	药物
M-18P探头清洁液	来源	中文维基百科
丹杞颗粒	来源	互动百科
丹杞颗粒	来源	中文维基百科
丹杞颗粒	属于	药物
七灵草减肥胶囊	来源	互动百科
七灵草减肥胶囊	属于	药物
七灵草减肥胶囊	来源	中文维基百科
保肝汤	来源	互动百科
保肝汤	是否处方药	非处方药
保肝汤	属于	药物
保肝汤	来源	中文维基百科
金梅片	来源	互动百科
金梅片	来源	中文维基百科
金梅片	属于	药物
祛风骨痛巴布膏	属于	药物
祛风骨痛巴布膏	来源	互动百科
祛风骨痛巴布膏	来源	中文维基百科
贝美滋乳钙软胶囊	来源	中文维基百科
贝美滋乳钙软胶囊	属于	药物
贝美滋乳钙软胶囊	来源	互动百科
基础胰岛素	来源	互动百科
基础胰岛素	来源	中文维基百科
基础胰岛素	属于	药物
基础胰岛素	类型	激素
醋酸甲地孕酮	来源	互动百科
醋酸甲地孕酮	来源	中文维基百科
醋酸甲地孕酮	属于	药物
酸枣仁丸	来源	中文维基百科
酸枣仁丸	来源	互动百科
酸枣仁丸	属于	药物
枸橼酸芬太尼	属于	药物
枸橼酸芬太尼	来源	中文维基百科
枸橼酸芬太尼	来源	互动百科
甘芎散	来源	中文维基百科
甘芎散	属于	药物
甘芎散	来源	互动百科
氢溴酸西酞普兰口服液	来源	中文维基百科
氢溴酸西酞普兰口服液	属于	药物
氢溴酸西酞普兰口服液	来源	互动百科
代针膏	来源	中文维基百科
代针膏	来源	互动百科
代针膏	属于	药物
链霉素注射液	属于	药物
链霉素注射液	来源	互动百科
链霉素注射液	来源	中文维基百科
苯羟醇胺	来源	中文维基百科
苯羟醇胺	属于	药物
苯羟醇胺	来源	互动百科
宫方七香丸	来源	中文维基百科
宫方七香丸	属于	药物
宫方七香丸	来源	互动百科
咳必清	来源	互动百科
咳必清	属于	药物
咳必清	来源	中文维基百科
瑞源螺旋藻片	来源	中文维基百科
瑞源螺旋藻片	属于	药物
瑞源螺旋藻片	来源	互动百科
金马肝泰胶囊	来源	中文维基百科
金马肝泰胶囊	来源	互动百科
金马肝泰胶囊	属于	药物
龙脑安神丸	属于	药物
龙脑安神丸	来源	中文维基百科
龙脑安神丸	来源	互动百科
银诺克滋补生发片	来源	中文维基百科
银诺克滋补生发片	来源	互动百科
银诺克滋补生发片	属于	药物
养血安神	来源	中文维基百科
养血安神	来源	互动百科
养血安神	属于	药物
二乙酰氨乙酸乙二胺	来源	中文维基百科
二乙酰氨乙酸乙二胺	属于	药物
二乙酰氨乙酸乙二胺	来源	互动百科
二十四味败毒散	来源	中文维基百科
二十四味败毒散	属于	药物
二十四味败毒散	来源	互动百科
米格来宁注射液	属于	药物
米格来宁注射液	来源	中文维基百科
米格来宁注射液	来源	互动百科
百梅止咳糖浆	来源	中文维基百科
百梅止咳糖浆	来源	互动百科
百梅止咳糖浆	属于	药物
三号蛇胆川贝片	来源	互动百科
三号蛇胆川贝片	来源	中文维基百科
三号蛇胆川贝片	属于	药物
痛经调理口服液	属于	药物
痛经调理口服液	来源	互动百科
痛经调理口服液	来源	中文维基百科
大黄通便冲剂	属于	药物
大黄通便冲剂	来源	中文维基百科
大黄通便冲剂	来源	互动百科
活血理伤丸	属于	药物
活血理伤丸	来源	中文维基百科
活血理伤丸	来源	互动百科
儿童清热口服液	来源	中文维基百科
儿童清热口服液	属于	药物
儿童清热口服液	来源	互动百科
中科虫草浓缩胶丸	来源	互动百科
中科虫草浓缩胶丸	属于	药物
中科虫草浓缩胶丸	来源	中文维基百科
牡蛎软胶囊	来源	互动百科
牡蛎软胶囊	属于	药物
牡蛎软胶囊	来源	中文维基百科
牡蛎软胶囊	是否处方药	非处方药
盐酸金曲林	来源	互动百科
盐酸金曲林	来源	中文维基百科
盐酸金曲林	属于	药物
氧化溴铵	属于	药物
氧化溴铵	来源	中文维基百科
氧化溴铵	来源	互动百科
依地酸钙钠注射液	属于	药物
依地酸钙钠注射液	来源	中文维基百科
依地酸钙钠注射液	来源	互动百科
乐敦眼药水	来源	互动百科
乐敦眼药水	来源	中文维基百科
乐敦眼药水	属于	药物
参柴胶囊	来源	互动百科
参柴胶囊	来源	中文维基百科
参柴胶囊	属于	药物
葵发散	来源	中文维基百科
葵发散	来源	互动百科
葵发散	属于	药物
盐酸奥昔布宁口服溶液	来源	互动百科
盐酸奥昔布宁口服溶液	来源	中文维基百科
盐酸奥昔布宁口服溶液	属于	药物
酚美愈伪麻分散片	来源	互动百科
酚美愈伪麻分散片	来源	中文维基百科
酚美愈伪麻分散片	属于	药物
腺苷脱氨酶抑制剂	属于	药物
腺苷脱氨酶抑制剂	来源	中文维基百科
腺苷脱氨酶抑制剂	来源	互动百科
吉密利定	来源	互动百科
吉密利定	来源	中文维基百科
吉密利定	属于	药物
锅底灰	来源	中文维基百科
锅底灰	属于	药物
锅底灰	来源	互动百科
疣必治	属于	药物
疣必治	来源	互动百科
疣必治	来源	中文维基百科
柏佰	属于	药物
柏佰	来源	互动百科
柏佰	来源	中文维基百科
病毒裂解疫苗	来源	互动百科
病毒裂解疫苗	属于	药物
病毒裂解疫苗	来源	中文维基百科
复方卡力孜然酊	属于	药物
复方卡力孜然酊	来源	互动百科
复方卡力孜然酊	来源	中文维基百科
乳康舒胶囊	来源	互动百科
乳康舒胶囊	来源	中文维基百科
乳康舒胶囊	属于	药物
赛克利辛	来源	中文维基百科
赛克利辛	属于	药物
赛克利辛	来源	互动百科
银黄平喘气雾剂	来源	中文维基百科
银黄平喘气雾剂	属于	药物
银黄平喘气雾剂	来源	互动百科
萸连片	来源	中文维基百科
萸连片	属于	药物
萸连片	来源	互动百科
不泻内消丸	属于	药物
不泻内消丸	来源	中文维基百科
不泻内消丸	来源	互动百科
乌头散	来源	中文维基百科
乌头散	属于	药物
乌头散	来源	互动百科
丹萸颗粒	属于	药物
丹萸颗粒	来源	互动百科
丹萸颗粒	来源	中文维基百科
华敷灵芝孢子粉软胶囊	来源	互动百科
华敷灵芝孢子粉软胶囊	来源	中文维基百科
华敷灵芝孢子粉软胶囊	属于	药物
黑虎散	来源	互动百科
黑虎散	属于	药物
黑虎散	来源	中文维基百科
维之元胶囊	属于	药物
维之元胶囊	来源	中文维基百科
维之元胶囊	来源	互动百科
清暑解毒冲剂	属于	药物
清暑解毒冲剂	来源	互动百科
清暑解毒冲剂	来源	中文维基百科
下丘脑激素	属于	药物
下丘脑激素	来源	互动百科
下丘脑激素	来源	中文维基百科
人工色素	属于	药物
人工色素	来源	中文维基百科
人工色素	来源	互动百科
雉脑膏	来源	互动百科
雉脑膏	来源	中文维基百科
雉脑膏	属于	药物
苯乙肼	来源	中文维基百科
苯乙肼	属于	药物
苯乙肼	来源	互动百科
马齿苋合剂	来源	中文维基百科
马齿苋合剂	来源	互动百科
马齿苋合剂	属于	药物
N-丙基西萝芙木碱	来源	中文维基百科
N-丙基西萝芙木碱	来源	互动百科
N-丙基西萝芙木碱	属于	药物
熏蒸剂	来源	互动百科
熏蒸剂	来源	中文维基百科
熏蒸剂	属于	药物
新贝儿克退热贴	来源	互动百科
新贝儿克退热贴	来源	中文维基百科
新贝儿克退热贴	属于	药物
排石利胆胶囊	来源	互动百科
排石利胆胶囊	属于	药物
排石利胆胶囊	来源	中文维基百科
清风藤胶囊	来源	互动百科
清风藤胶囊	属于	药物
清风藤胶囊	来源	中文维基百科
米多霉素	属于	药物
米多霉素	来源	互动百科
米多霉素	来源	中文维基百科
荧光色素	属于	药物
荧光色素	来源	互动百科
荧光色素	来源	中文维基百科
通络活血胶囊	来源	中文维基百科
通络活血胶囊	来源	互动百科
通络活血胶囊	属于	药物
通络活血胶囊	类型	胶囊剂
马来酸氨氯地平滴丸	来源	中文维基百科
马来酸氨氯地平滴丸	属于	药物
马来酸氨氯地平滴丸	来源	互动百科
大黄蛰虫丸	来源	中文维基百科
大黄蛰虫丸	来源	互动百科
大黄蛰虫丸	属于	药物
健身安胎丸	属于	药物
健身安胎丸	来源	中文维基百科
健身安胎丸	来源	互动百科
恩贝施铁质叶酸片	属于	药物
恩贝施铁质叶酸片	来源	互动百科
恩贝施铁质叶酸片	来源	中文维基百科
百部丸	来源	中文维基百科
百部丸	来源	互动百科
百部丸	属于	药物
回乳杷叶茶	来源	互动百科
回乳杷叶茶	来源	中文维基百科
回乳杷叶茶	属于	药物
除障则海甫片	属于	药物
除障则海甫片	来源	中文维基百科
除障则海甫片	来源	互动百科
黄嘌呤氧化酶抑制剂	来源	互动百科
黄嘌呤氧化酶抑制剂	属于	药物
黄嘌呤氧化酶抑制剂	来源	中文维基百科
气肿疽灭活疫苗	来源	中文维基百科
气肿疽灭活疫苗	来源	互动百科
气肿疽灭活疫苗	属于	药物
多霉素	来源	互动百科
多霉素	来源	中文维基百科
多霉素	属于	药物
青蒲苏荆茶	属于	药物
青蒲苏荆茶	来源	中文维基百科
青蒲苏荆茶	来源	互动百科
益萨林	属于	药物
益萨林	来源	中文维基百科
益萨林	来源	互动百科
酵素液	来源	互动百科
酵素液	属于	药物
酵素液	来源	中文维基百科
七宝美髯口服液	属于	药物
七宝美髯口服液	来源	中文维基百科
七宝美髯口服液	来源	互动百科
今来烧伤膏	来源	互动百科
今来烧伤膏	来源	中文维基百科
今来烧伤膏	属于	药物
复方灰黄霉素搽剂	来源	互动百科
复方灰黄霉素搽剂	来源	中文维基百科
复方灰黄霉素搽剂	属于	药物
更昔洛韦氯化钠注射液	来源	中文维基百科
更昔洛韦氯化钠注射液	属于	药物
更昔洛韦氯化钠注射液	来源	互动百科
地诺帕明	属于	药物
地诺帕明	来源	互动百科
地诺帕明	来源	中文维基百科
炔诺酮	来源	互动百科
炔诺酮	属于	药物
炔诺酮	来源	中文维基百科
一字轻金散	属于	药物
一字轻金散	来源	中文维基百科
一字轻金散	来源	互动百科
复方百部止咳糖浆	来源	互动百科
复方百部止咳糖浆	属于	药物
复方百部止咳糖浆	来源	中文维基百科
舒胆胶囊	来源	互动百科
舒胆胶囊	类型	胶囊剂
舒胆胶囊	属于	药物
舒胆胶囊	来源	中文维基百科
